Tab,00009
NewLine,0000A
excl,00021
QUOT,00022
quot,00022
num,00023
dollar,00024
percnt,00025
AMP,00026
amp,00026
apos,00027
lpar,00028
rpar,00029
midast,0002A
ast,0002A
plus,0002B
comma,0002C
period,0002E
sol,0002F
colon,0003A
semi,0003B
LT,0003C
lt,0003C
equals,0003D
GT,0003E
gt,0003E
quest,0003F
commat,00040
lbrack,0005B
lsqb,0005B
bsol,0005C
rbrack,0005D
rsqb,0005D
Hat,0005E
lowbar,0005F
DiacriticalGrave,00060
grave,00060
lbrace,0007B
lcub,0007B
vert,0007C
VerticalLine,0007C
verbar,0007C
rbrace,0007D
rcub,0007D
NonBreakingSpace,000A0
nbsp,000A0
iexcl,000A1
cent,000A2
pound,000A3
curren,000A4
yen,000A5
brvbar,000A6
sect,000A7
die,000A8
DoubleDot,000A8
uml,000A8
Dot,000A8
COPY,000A9
copy,000A9
ordf,000AA
laquo,000AB
not,000AC
shy,000AD
circledR,000AE
REG,000AE
reg,000AE
OverBar,000AF
strns,000AF
macr,000AF
deg,000B0
pm,000B1
PlusMinus,000B1
plusmn,000B1
sup2,000B2
sup3,000B3
DiacriticalAcute,000B4
acute,000B4
micro,000B5
para,000B6
centerdot,000B7
CenterDot,000B7
middot,000B7
Cedilla,000B8
cedil,000B8
sup1,000B9
ordm,000BA
raquo,000BB
frac14,000BC
half,000BD
frac12,000BD
frac34,000BE
iquest,000BF
Agrave,000C0
Aacute,000C1
Acirc,000C2
Atilde,000C3
Auml,000C4
Aring,000C5
AElig,000C6
Ccedil,000C7
Egrave,000C8
Eacute,000C9
Ecirc,000CA
Euml,000CB
Igrave,000CC
Iacute,000CD
Icirc,000CE
Iuml,000CF
ETH,000D0
Ntilde,000D1
Ograve,000D2
Oacute,000D3
Ocirc,000D4
Otilde,000D5
Ouml,000D6
times,000D7
Oslash,000D8
Ugrave,000D9
Uacute,000DA
Ucirc,000DB
Uuml,000DC
Yacute,000DD
THORN,000DE
szlig,000DF
agrave,000E0
aacute,000E1
acirc,000E2
atilde,000E3
auml,000E4
aring,000E5
aelig,000E6
ccedil,000E7
egrave,000E8
eacute,000E9
ecirc,000EA
euml,000EB
igrave,000EC
iacute,000ED
icirc,000EE
iuml,000EF
eth,000F0
ntilde,000F1
ograve,000F2
oacute,000F3
ocirc,000F4
otilde,000F5
ouml,000F6
div,000F7
divide,000F7
oslash,000F8
ugrave,000F9
uacute,000FA
ucirc,000FB
uuml,000FC
yacute,000FD
thorn,000FE
yuml,000FF
Amacr,00100
amacr,00101
Abreve,00102
abreve,00103
Aogon,00104
aogon,00105
Cacute,00106
cacute,00107
Ccirc,00108
ccirc,00109
Cdot,0010A
cdot,0010B
Ccaron,0010C
ccaron,0010D
Dcaron,0010E
dcaron,0010F
Dstrok,00110
dstrok,00111
Emacr,00112
emacr,00113
Edot,00116
edot,00117
Eogon,00118
eogon,00119
Ecaron,0011A
ecaron,0011B
Gcirc,0011C
gcirc,0011D
Gbreve,0011E
gbreve,0011F
Gdot,00120
gdot,00121
Gcedil,00122
Hcirc,00124
hcirc,00125
Hstrok,00126
hstrok,00127
Itilde,00128
itilde,00129
Imacr,0012A
imacr,0012B
Iogon,0012E
iogon,0012F
Idot,00130
inodot,00131
imath,00131
IJlig,00132
ijlig,00133
Jcirc,00134
jcirc,00135
Kcedil,00136
kcedil,00137
kgreen,00138
Lacute,00139
lacute,0013A
Lcedil,0013B
lcedil,0013C
Lcaron,0013D
lcaron,0013E
Lmidot,0013F
lmidot,00140
Lstrok,00141
lstrok,00142
Nacute,00143
nacute,00144
Ncedil,00145
ncedil,00146
Ncaron,00147
ncaron,00148
napos,00149
ENG,0014A
eng,0014B
Omacr,0014C
omacr,0014D
Odblac,00150
odblac,00151
OElig,00152
oelig,00153
Racute,00154
racute,00155
Rcedil,00156
rcedil,00157
